source,year,nb_departements,POPULATION,POP_IMMI,POP_TOT,NOMBRE_FAITS_TOTAL,N_VIOLENCES_PERS,N_ATTEINTES_BIENS,N_INFRA_ECO_STUP,NB_FOYERS_RSA,SUPERFICIE_km2,TAUX_CRIM_GLOBAL_1000,TAUX_VIOLENCES_PERS,TAUX_ATTEINTES_BIENS,TAUX_INFRA_ECO_STUP,TAUX_IMMI,DENSITE,TAUX_CHOMAGE,TAUX_PAUVRETE,n_articles_immigration,n_articles_imm_crime,share_crime_frame,sentiment_mean,share_neg_sentiment,frame_securitarian,frame_economic,frame_humanitarian
L'Est Républicain,2016,8,2650998,177685.45841758704,2650998.0,90679,14056,58804,17819,66753.0,39743.0,34.20560860475941,5.302154132141933,22.181834916510688,6.721619556106794,6.702587418684852,66.70352011675011,9.57245625609676,14.02200806890006,725,107,0.1476,0.2828,0.2338,0.161,0.1482,0.6908
L'Est Républicain,2017,8,2642517,180152.30315205612,2642517.0,90695,14786,58140,17769,65420.0,39743.0,34.32144428966777,5.5954228487461,22.001750603685803,6.724270837235863,6.817451057157102,66.49012404700198,8.799710522202885,13.85008366277903,286,57,0.1993,0.3033,0.2134,0.1635,0.1334,0.7031
L'Est Républicain,2018,8,2638075,183336.24470508355,2638075.0,88978,15912,55647,17419,64669.0,39743.0,33.72838149029122,6.0316708205794,21.09378997943576,6.602920690276053,6.949622156499855,66.37835593689455,8.278940022554325,14.013908908344645,340,59,0.1735,0.3502,0.1882,0.1721,0.1352,0.6926
L'Est Républicain,2019,8,2634658,183001.73644093363,2634658.0,88512,16790,54018,17704,64847.0,39743.0,33.59525221110292,6.372743635037261,20.50285084439802,6.719657731667639,6.945938958336666,66.29237853206854,7.837109537556678,13.800901286393056,271,43,0.1587,0.3292,0.175,0.1667,0.2082,0.6252
L'Est Républicain,2020,8,2628514,186183.6962842288,2628514.0,79129,16806,44377,17946,68995.0,39743.0,30.10408162178326,6.393726645549539,16.882923202996064,6.827431773237654,7.083230155297965,66.13778527036207,7.461074124010753,13.664431842718972,130,21,0.1615,0.285,0.2056,0.229,0.1628,0.6081
L'Est Républicain,2021,8,2625721,190656.83054039307,2625720.9999999995,84852,19348,45024,20480,65255.0,39743.0,32.31569538423922,7.36864274612573,17.14729021095539,7.799762427158102,7.261122965478553,66.06750874367813,7.231968297469534,14.353334054515765,226,63,0.2788,0.2247,0.2475,0.3008,0.1722,0.527
La Dépêche du Midi,2016,11,3792412,313032.90649398987,3792412.0,157518,19359,115078,23081,101492.0,62014.600000000006,41.53504418823693,5.104666898005807,30.344276940374623,6.086100349856503,8.254190380528009,61.15353481276989,10.298891750157946,15.238338385506138,577,76,0.1317,0.3947,0.1574,0.11,0.1184,0.7716
La Dépêche du Midi,2017,11,3814422,320628.4374175132,3814422.0,159420,20590,114805,24025,101364.0,62014.600000000006,41.79401230383005,5.3979344708058,30.09761374069256,6.298464092331683,8.40568865787564,61.50845123567675,9.539931612181348,15.179739492835877,364,69,0.1896,0.3742,0.1465,0.1559,0.1252,0.7189
La Dépêche du Midi,2018,11,3836431,328223.21159218496,3836431.0,156250,22106,109414,24730,101745.0,62014.600000000006,40.72795783372619,5.762126309583048,28.51973618188363,6.446095342259511,8.555431117937088,61.86335153334859,9.064639976582402,15.369194064761908,441,81,0.1837,0.4131,0.1551,0.1701,0.141,0.6888
La Dépêche du Midi,2019,11,3860417,330337.8037523888,3860417.0,157814,23430,108442,25942,102507.0,62014.600000000006,40.88003964338568,6.069292514254289,28.09074770937958,6.7199994197518045,8.557049763079709,62.25013142066545,8.546938711543339,15.090702570648071,261,41,0.1571,0.4292,0.1416,0.1578,0.1483,0.6939
La Dépêche du Midi,2020,11,3881618,337225.7917891917,3881618.0,138540,23712,87889,26939,110266.0,62014.600000000006,35.69130192615554,6.108792776620471,22.64236202532037,6.940147124214696,8.687763499375563,62.59200252843684,8.1748745136693,15.200657432317309,169,51,0.3018,0.3699,0.2192,0.2808,0.1014,0.6177
La Dépêche du Midi,2021,11,3907672,345310.93524296576,3907672.0,147163,26237,88474,32452,104085.0,62014.600000000006,37.66001854812789,6.714227806223245,22.641101914387903,8.304688827516742,8.836743084961219,63.01212940178603,8.172892778616013,15.937664283109806,245,70,0.2857,0.2488,0.2634,0.2987,0.1874,0.5139
La Provence,2016,4,2882403,298555.2773308429,2882403.0,178233,22673,132287,23273,101095.0,21128.7,61.83486486795913,7.86600624548337,45.89469272686713,8.07416589560863,10.357860345373044,136.42121853213874,11.775756901446467,18.416911798873976,423,86,0.2033,0.3329,0.1896,0.1861,0.1197,0.6942
La Provence,2017,4,2888840,304956.5463471339,2888840.0,173775,22446,127654,23675,100800.0,21128.7,60.15390260450562,7.769900721396824,44.18867088519959,8.195330997909196,10.556366788992602,136.72587523132043,11.26757793785741,18.16286205986866,317,77,0.2429,0.3006,0.2247,0.1845,0.1434,0.6722
La Provence,2018,4,2898916,309986.0477475411,2898916.0,168689,25002,120453,23234,101904.0,21128.7,58.19037184933955,8.62460312751387,41.55104873683818,8.014719984987492,10.693171093868918,137.20276211977074,10.913850532405904,18.625966715675204,405,114,0.2815,0.3499,0.1811,0.2367,0.113,0.6503
La Provence,2019,4,2910107,310348.9482767478,2910107.0,169906,25625,119021,25260,101682.0,21128.7,58.38479478589619,8.805518147614505,40.89918343208686,8.680093206194822,10.664520180074058,137.73242083043442,10.14473087415686,18.27314615275631,248,71,0.2863,0.3354,0.1911,0.2674,0.1512,0.5814
La Provence,2020,4,2916067,313747.1846059964,2916067.0,152550,23863,100692,27995,110557.0,21128.7,52.31361282165327,8.18328248287848,34.530070811130194,9.600259527644598,10.759258432882248,138.01450160208626,9.42986195790426,17.95855701322943,172,61,0.3547,0.1977,0.3023,0.3666,0.1147,0.5187
La Provence,2021,4,2928562,320511.11999726325,2928562.000000001,176497,26517,108055,41925,101589.0,21128.7,60.26746232451285,9.05461451729552,36.89694805846692,14.315899748750413,10.944317381611288,138.60587731379593,9.291778879873467,18.52337307072626,250,86,0.344,0.192,0.268,0.3213,0.1569,0.5218
La Voix du Nord,2016,2,4074448,211699.79996355585,4074448.0,203459,33214,142146,28099,168373.0,12414.2,49.93535320612755,8.151779087621195,34.88717980938768,6.896394309118684,5.195790938148083,328.20866427156,12.538636288891157,19.41939249120632,893,287,0.3214,0.0431,0.3651,0.2783,0.1318,0.59
La Voix du Nord,2017,2,4072379,216245.0577295306,4072379.0,195983,32726,134291,28966,165606.0,12414.2,48.1249412198619,8.036088978948179,32.976056501617364,7.112795739296367,5.310042550792316,328.0420002899905,11.947662828042285,18.98348351577453,605,168,0.2777,-0.0008,0.4033,0.1989,0.1551,0.646
La Voix du Nord,2018,2,4072977,220576.6328708392,4072977.0,192965,35031,128358,29576,164897.0,12414.2,47.376894099819374,8.600834230097544,31.51454083831065,7.261519031411177,5.415612041777775,328.09017093328606,11.6011039615495,19.17337071383021,489,148,0.3027,0.0501,0.3599,0.2564,0.1437,0.5999
La Voix du Nord,2019,2,4073624,221254.47260901256,4073624.0,195590,37253,127379,30958,163124.0,12414.2,48.01375875633097,9.144928447004435,31.269208940245832,7.599621369080701,5.431391621048299,328.14228866942693,10.687419815869111,18.717441169320608,385,100,0.2597,0.1468,0.3117,0.291,0.1614,0.5476
La Voix du Nord,2020,2,4069913,220681.9764803908,4069913.0,169144,34659,105955,28530,166607.0,12414.2,41.559610733693816,8.515906851080109,26.033726028050232,7.009977854563476,5.422277490462101,327.8433568010826,9.784442517567328,18.181726931975984,410,116,0.2829,0.0585,0.3366,0.3767,0.1443,0.4789
La Voix du Nord,2021,2,4072734,225859.74873871848,4072734.0,179492,40307,104781,34404,154132.0,12414.2,44.07162363169312,9.896791688335158,25.72743518236153,8.447396760996421,5.545654313262749,328.07059657489003,9.455754998976117,19.09963750844005,548,138,0.2518,0.031,0.3741,0.319,0.1415,0.5394
Le Parisien,2016,9,12940674,2397444.181098194,12940672.94790654,828800,123354,571274,134172,348362.0,17872.4,64.0461230999251,9.532270112051352,44.14561405379658,10.36823893407716,18.526425872512583,724.0591078982117,8.802655509288,15.531779796778189,722,123,0.1704,0.1653,0.2966,0.154,0.1357,0.7103
Le Parisien,2017,9,12999383,2445948.519492757,12999383.0,831035,125159,565006,140870,347267.0,17872.4,63.92880339013013,9.628072347741428,43.46406287129166,10.836668171097044,18.815881642173,727.3440052818871,8.304764048416759,15.16214572080107,511,112,0.2192,0.138,0.306,0.1695,0.1475,0.683
Le Parisien,2018,9,13040600,2483084.602224096,13040600.0,819111,126683,552333,140095,359028.0,17872.4,62.81237059644496,9.7145070012116,42.35487630937227,10.74298728586108,19.04118370492229,729.6501868803294,8.030518005306504,15.43925873393057,563,119,0.2114,0.2491,0.2232,0.1572,0.1707,0.6721
Le Parisien,2019,9,13091963,2492901.952746899,13091963.0,854879,130944,577800,146135,362985.0,17872.4,65.29800000198595,10.001861447362783,44.13394691078794,11.16219164383523,19.041468057516653,732.5240594436113,7.517966662447793,15.34662018618896,393,100,0.2545,0.1519,0.2883,0.1808,0.249,0.5702
Le Parisien,2020,9,13101493,2535193.365546947,13101492.999999998,717805,121409,464182,132214,402403.0,17872.4,54.78803064658356,9.266806462439051,35.42970255374712,10.091521630397391,19.35041575450177,733.0572838566728,7.431671665969673,15.334620064020164,154,59,0.3831,0.1141,0.3221,0.3038,0.2172,0.479
Le Parisien,2021,9,13146117,2590308.863959564,13146117.0,766111,129593,469410,167108,383782.0,17872.4,58.2765998507392,9.857891877883027,35.70712173031778,12.711586242538386,19.70398456030449,735.5540945815894,7.600269282556971,15.912556582103331,174,84,0.4828,-0.046,0.4425,0.3656,0.2093,0.4251
Le Progrès,2016,6,4279204,425389.13467965706,4279204.0,193084,25302,136497,31285,86089.0,32343.1,45.12147586326802,5.9127819099066095,31.897754816082617,7.310939137278803,9.940847285608656,132.30655070169527,8.797551682509177,13.262578850084063,636,78,0.1226,0.3002,0.2101,0.1416,0.1343,0.7241
Le Progrès,2017,6,4290676,433887.4370189029,4290676.0,199151,25745,141549,31857,85893.0,32343.1,46.41483067003894,6.000220011951496,32.98990648559808,7.42470417248937,10.112332812333136,132.66124768497764,8.126389272925758,13.138149050922287,414,76,0.1836,0.3216,0.173,0.1554,0.1209,0.7237
Le Progrès,2018,6,4310082,440789.3657992339,4310082.0,201087,27729,142045,31313,86739.0,32343.1,46.65502883703837,6.433520290333224,32.95644955246791,7.265058994237233,10.22693688424568,133.26125201356703,7.715393846335173,13.354108489820725,479,91,0.19,0.3479,0.1745,0.1691,0.1342,0.6967
Le Progrès,2019,6,4332075,443278.67529893474,4332075.0,201337,29054,138335,33948,87972.0,32343.1,46.47588049606713,6.706716758135536,31.93273431323326,7.836429424698326,10.232479246064178,133.94124249067036,7.323836713353301,13.3708679659608,330,40,0.1212,0.3247,0.1821,0.1191,0.1723,0.7086
Le Progrès,2020,6,4347151,451141.53678766417,4347151.0,176227,28530,113514,34183,96123.0,32343.1,40.5385044135803,6.562919024436924,26.11227445285429,7.863310936289078,10.3778667174815,134.40736973264777,7.036088739498582,13.253342192238891,163,29,0.1779,0.2394,0.2606,0.2578,0.1215,0.6207
Le Progrès,2021,6,4361050,459533.6391530029,4361050.0,204247,33352,128879,42016,90221.0,32343.1,46.8343632840715,7.647699521904128,29.552286719941296,9.634377042226069,10.537224731498217,134.8371059051235,6.774585464509693,13.862457633747002,226,43,0.1903,0.2592,0.2042,0.2657,0.1687,0.5656
Le Télégramme,2016,4,3306529,114689.41519281166,3306529.0,103807,13577,71935,18295,57007.0,27207.9,31.39455301919324,4.106118530942871,21.75544203604445,5.532992452205924,3.468574302321609,121.52826936294235,8.65219086540599,11.090490075439863,797,81,0.1016,0.3474,0.1236,0.1022,0.092,0.8058
Le Télégramme,2017,4,3318904,121385.34294382464,3318904.0,107222,14668,73509,19045,57443.0,27207.9,32.306448152763686,4.419531266948366,22.14857675907468,5.738340126740635,3.6573924085729694,121.98310049654695,7.947456172278559,10.925328365126244,549,55,0.1002,0.3324,0.1447,0.0934,0.104,0.8026
Le Télégramme,2018,4,3335414,125675.21793690136,3335414.0,107495,16221,71763,19511,57576.0,27207.9,32.22838304330437,4.863264350392485,21.515470043598786,5.849648649313099,3.7679046120482,122.5899095483297,7.530987127834806,10.906890816502967,543,62,0.1142,0.3954,0.1255,0.1359,0.1107,0.7534
Le Télégramme,2019,4,3354854,126121.54938628669,3354854.0,106492,17606,68703,20183,58640.0,27207.9,31.742663019016625,5.247918389295034,20.47868551060642,6.016059119115169,3.759375203400407,123.30440791093764,7.039249374190352,10.724815785599665,420,35,0.0833,0.3653,0.1417,0.1362,0.1484,0.7153
Le Télégramme,2020,4,3373835,131605.49044167253,3373835.0,95956,18879,56046,21031,63763.0,27207.9,28.441224896890333,5.595709333740388,16.61195642347655,6.233559139673399,3.90076842648418,124.00203617331732,6.807091152946127,11.219652578230288,195,35,0.1795,0.3083,0.1722,0.1696,0.1377,0.6927
Le Télégramme,2021,4,3394567,138556.97893894557,3394567.0,102150,19781,57575,24794,59315.0,27207.9,30.09220321767106,5.827252783639269,16.960926091604613,7.304024342427179,4.081727623550973,124.7640207439751,6.392228908723853,11.050492694364925,282,55,0.195,0.3004,0.166,0.2169,0.2176,0.5655
Midi Libre,2016,2,1874487,176404.4455276234,1874487.0,102280,12946,76144,13190,70041.0,11953.8,54.56426211544812,6.906422930647158,40.62124730659642,7.036591878204544,9.41081189294049,156.8109722431361,13.549371203961403,19.43948230248424,295,45,0.1525,0.3082,0.194,0.1594,0.1199,0.7207
Midi Libre,2017,2,1889070,181023.5812021284,1889070.0,101663,13406,75298,12959,69641.0,11953.8,53.81642818953242,7.096613677629733,39.85982520499505,6.859989306907631,9.582682547609584,158.03091903829744,12.804545697089043,19.179539449055238,288,73,0.2535,0.3523,0.1534,0.2039,0.1422,0.6539
Midi Libre,2018,2,1904678,185438.5034802862,1904678.0,98382,14055,70927,13400,70880.0,11953.8,51.65282530695477,7.379200053762369,37.238315347791065,7.035309905401333,9.735950301325795,159.33661262527397,12.413016058357371,19.739407466230087,354,96,0.2712,0.4062,0.1429,0.2547,0.1039,0.6414
Midi Libre,2019,2,1924060,186985.1021481749,1924060.0,103017,14647,73306,15064,71381.0,11953.8,53.54146960074011,7.612548465224577,38.099643462262094,7.829277673253433,9.718257338553626,160.95802171694356,11.74165174162968,19.23692497694478,197,50,0.2538,0.4419,0.1008,0.2445,0.1248,0.6307
Midi Libre,2020,2,1940430,191485.4334780596,1940430.0,86919,13973,57974,14972,76495.0,11953.8,44.79367975139531,7.200981225810774,29.87688295893178,7.715815566652752,9.868195888440171,162.3274607237866,10.907349484392634,18.975028274061334,86,14,0.1628,0.3198,0.1395,0.2573,0.1352,0.6075
